Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Groups,,,
,,,,
,Team,"Team
no.",Name,
,,,,Played
,,,A,
,A1,15,Mexico,False
,A2,60,South Africa,False
,A3,25,Rep. of Korea,False
,A4,41,Czech Rep.,False
,,,B,
,B1,30,Canada,False
,B2,65,Bosnia/Herzeg.,False
,B3,55,Qatar,False
,B4,19,Switzerland,False
,,,C,
,C1,6,Brazil,False
,C2,8,Morocco,False
,C3,83,Haiti,False
,C4,43,Scotland,False
,,,D,
,D1,16,USA,False
,D2,40,Paraguay,False
,D3,27,Australia,False
,D4,22,Turkey,False
,,,E,
,E1,10,Germany,False
,E2,82,Curaçao,False
,E3,34,Ivory Coast,False
,E4,23,Ecuador,False
,,,F,
,F1,7,Netherlands,False
,F2,18,Japan,False
,F3,38,Sweden,False
,F4,44,Tunisia,False
,,,G,
,G1,9,Belgium,False
,G2,29,Egypt,False
,G3,21,IR Iran,False
,G4,85,New Zealand,False
,,,H,
,H1,2,Spain,False
,H2,69,Cape Verde,False
,H3,61,Saudi Arabia,False
,H4,17,Uruguay,False
,,,I,
,I1,1,France,False
,I2,14,Senegal,False
,I3,57,Iraq,False
,I4,31,Norway,False
,,,J,
,J1,3,Argentina,False
,J2,28,Algeria,False
,J3,24,Austria,False
,J4,63,Jordan,False
,,,K,
,K1,5,Portugal,False
,K2,46,DR Congo,False
,K3,50,Uzbekistan,False
,K4,13,Colombia,False
,,,L,
,L1,4,England,False
,L2,11,Croatia,False
,L3,74,Ghana,False
,L4,33,Panama,False
