Unnamed: 0,Matches,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,Match No.,Teams,,Date   (local time host),Date   (my time),"Venue
no.",Venue,Team 1,Team 2,Order of headings,,,,
,1,A1,A2,2026-06-11 15:00:00,2026-06-11 21:00:00,14,Mexico City,Mexico,South Africa,,,,,
,2,A3,A4,2026-06-11 22:00:00,2026-06-12 04:00:00,15,Guadalajara,Rep. of Korea,Czech Rep.,,,,,
,3,B1,B2,2026-06-12 15:00:00,2026-06-12 21:00:00,2,Toronto,Canada,Bosnia/Herzeg.,,,,,
,4,D1,D2,2026-06-12 21:00:00,2026-06-13 03:00:00,8,Los Angeles,USA,Paraguay,,,,,
,5,C3,C4,2026-06-13 21:00:00,2026-06-14 03:00:00,12,Boston,Haiti,Scotland,,,,,
,6,D3,D4,2026-06-14 00:00:00,2026-06-14 06:00:00,1,Vancouver,Australia,Turkey,,,,,
,7,C1,C2,2026-06-13 18:00:00,2026-06-14 00:00:00,3,New York/New Jersey,Brazil,Morocco,,,,,
,8,B3,B4,2026-06-13 15:00:00,2026-06-13 21:00:00,11,San Francisco Bay Area,Qatar,Switzerland,,,,,
,9,E3,E4,2026-06-14 19:00:00,2026-06-15 01:00:00,9,Philadelphia,Ivory Coast,Ecuador,,,,,
,10,E1,E2,2026-06-14 13:00:00,2026-06-14 19:00:00,6,Houston,Germany,Curaçao,,,,,
,11,F1,F2,2026-06-14 16:00:00,2026-06-14 22:00:00,5,Dallas,Netherlands,Japan,,,,,
,12,F3,F4,2026-06-14 22:00:00,2026-06-15 04:00:00,16,Monterrey,Sweden,Tunisia,,,,,
,13,H3,H4,2026-06-15 18:00:00,2026-06-16 00:00:00,13,Miami,Saudi Arabia,Uruguay,,,,,
,14,H1,H2,2026-06-15 12:00:00,2026-06-15 18:00:00,7,Atlanta,Spain,Cape Verde,,,,,
,15,G3,G4,2026-06-15 21:00:00,2026-06-16 03:00:00,8,Los Angeles,IR Iran,New Zealand,,,,,
,16,G1,G2,2026-06-15 15:00:00,2026-06-15 21:00:00,10,Seattle,Belgium,Egypt,,,,,
,17,I1,I2,2026-06-16 15:00:00,2026-06-16 21:00:00,3,New York/New Jersey,France,Senegal,,,,,
,18,I3,I4,2026-06-16 18:00:00,2026-06-17 00:00:00,12,Boston,Iraq,Norway,,,,,
,19,J1,J2,2026-06-16 21:00:00,2026-06-17 03:00:00,4,Kansas City,Argentina,Algeria,,,,,
,20,J3,J4,2026-06-17 00:00:00,2026-06-17 06:00:00,11,San Francisco Bay Area,Austria,Jordan,,,,,
,21,L3,L4,2026-06-17 19:00:00,2026-06-18 01:00:00,2,Toronto,Ghana,Panama,,,,,
,22,L1,L2,2026-06-17 16:00:00,2026-06-17 22:00:00,5,Dallas,England,Croatia,,,,,
